name,app_price,play_price,total_app_price,avg_app_rating,app_genre,play_genre,app_trader_purchase_price,avg_app_rating_rounded,expected_app_lifespan_years
Fleeing the Complex,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fleet Air Travel Guide & Airport Directory,0,NULL,NULL,NULL,Travel,NULL,"$10,000.00 ",NULL,1
Flewn,2.99,NULL,NULL,NULL,Book,NULL,"$10,000.00 ",NULL,1
Flick Champions HD,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Champions Winter Sports,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Field Goal 17,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Golf Extreme,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Golf!,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Home Run !,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Home Run ! HD,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Kick Field Goal,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Kick Football Legends,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Quarterback 17,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Rugby 16,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flick Soccer 17,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
flick（フリック）- みんなの顔文字キーボードから名前が変わりました,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Flight Pilot Simulator 3D: Flying Game For Free,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flight Unlimited 2K16 - Flight Simulator,9.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flight!,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flinch - Video Chat Staring Contest,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Flip,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Flip Diving,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
